web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572896214-216","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/995-Hillview-Dr-Dixon-CA-95620/15699265_zpid/","Dixon, CA 95620","For sale","995 Hillview Dr,","","","2,798","4","4","null","$625,000","Single Family","1984","Forced air","Central","Single Family","0.27 acres","$2,924/mo","4","5","6","{""targetDiv"":""gpt-ad-67db379d-4c9a-4c90-82d4-9c1c5f8bb08f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""995 Hillview Dr"",""bd"":""4"",""fsbid"":""2877"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15699265"",""lot"":""3"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""561436093492460716"",""sqftrange"":""2500-2999"",""price"":""625000"",""sqft"":""2798"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBS5XDD8/"",""mlong"":""-121.8352"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""95620"",""mlat"":""38.442213"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnmzcynaecigr0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""619735"",""premieragent"":""no""}}","null","null","null","null"
"1572896216-217","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1350-Cornell-Dr-Dixon-CA-95620/122075365_zpid/","Dixon, CA 95620","For sale","1350 Cornell Dr,","","","1,917","3","3","$454,901","$454,900","Single Family","2015","Other","Central","Single Family","3,049 sqft","$2,450/mo","4","5","6","No Data","null","null","null","null"
"1572896295-239","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1085-Wake-Forest-Ct-Dixon-CA-95620/2082390687_zpid/","Dixon, CA 95620","New construction","1085 Wake Forest Ct,","","","2,348","4","3","$464,223","$477,990","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","5","6","{""targetDiv"":""gpt-ad-f3cdf1e8-62f7-42d1-bc8f-c822c47a8fe3"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1085 Wake Forest Ct"",""bd"":""4"",""fsbid"":""12653"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""2082390687"",""zestibuck"":""450-499k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""477990"",""sqft"":""2348"",""posting_url"":""http://www.drhorton.com/california/sacramento/sacramento/greenwich-at-parklane/qmis/1085-wake-forest-court.aspx"",""state"":""CA"",""mlong"":""-121.8384"",""cnty"":""Solano"",""prange"":""450-499k"",""zip"":""95620"",""mlat"":""38.45051"",""plid"":""28639599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvchq3g49tts91000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2010-2019"",""zestimate"":""464223"",""premieragent"":""no"",""builderChatId"":""12653-820907"",""dma"":""35""}}","null","null","null","null"
"1572896241-226","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1210-Pembroke-Way-Dixon-CA-95620/15697552_zpid/","Dixon, CA 95620","Pre-foreclosure","1210 Pembroke Way,","","","null","4","null","$415,994","$415,994","Single Family","1978","Forced air","Central","Single Family","7,405 sqft","null","3","5","6","{""targetDiv"":""gpt-ad-79241151-0f8f-4d70-b74c-51702dde992f"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1210 Pembroke Way"",""bd"":""4"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15697552"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""-8511851067659085363"",""sqftrange"":""1500-1999"",""price"":""447306"",""sqft"":""1840"",""posting_url"":"""",""mlong"":""-121.828059"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""95620"",""mlat"":""38.458191"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISm6rrji8d8p6d1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""447306"",""premieragent"":""no""}}","null","null","null","null"
"1572896228-221","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/940-Weyand-Way-Dixon-CA-95620/15697758_zpid/","Dixon, CA 95620","Pre-foreclosure / auction","940 Weyand Way,","","","null","3","null","$367,761","$367,761","Single Family","1983","Other","Central","Single Family","6,969 sqft","null","3","5","6","{""targetDiv"":""gpt-ad-a57c158f-89b5-4cbb-87b9-f96149d3fef0"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""940 Weyand Way"",""bd"":""3"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15697758"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""3998645955552592322"",""sqftrange"":""1000-1499"",""price"":""395442"",""sqft"":""1452"",""posting_url"":"""",""mlong"":""-121.834747"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""95620"",""mlat"":""38.45583"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1980-1989"",""zestimate"":""395442"",""premieragent"":""no""}}","null","null","null","null"
"1572896258-231","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/34-Solano-Dr-Dixon-CA-95620/15696579_zpid/","Dixon, CA 95620","Pre-foreclosure","34 Solano Dr,","","","null","3","null","$309,296","$309,296","Single Family","1953","None","None","Single Family","9,583 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-6e3b6303-15ee-4146-9ffc-eb3acc5be008"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95620"",""aamgnrc1"":""34 Solano Dr"",""mlat"":""38.452364"",""bd"":""3"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15696579"",""price_band"":""z300"",""yrblt"":""1940-1959"",""zestimate"":""332577"",""lot"":""2"",""zestibuck"":""300-349k"",""listtp"":""buy_foreclosure"",""zguidh"":""-4490116957583077441"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""332577"",""sqft"":""949"",""posting_url"":"""",""mlong"":""-121.825885"",""state"":""CA"",""prange"":""300-349k""}}","null","null","null","null"
"1572896312-245","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/community/greenwich-at-parklane/2082340544_zpid/","Dixon, CA 95620","New construction","Buildable plan: PLAN 2348 A, Greenwich at Parklane,","","","2,348","4","3","$461,381","$474,990","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","5","6","{""targetDiv"":""gpt-ad-2ea692a7-1f3c-4e2b-92e2-70848a400c31"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" OCSS4F"",""aamgnrc1"":""1095 Johns Hopkins Ct"",""bd"":""4"",""fsbid"":""12653"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""2082340544"",""zestibuck"":""450-499k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""2000-2499"",""price"":""474990"",""sqft"":""2348"",""posting_url"":""http://www.drhorton.com/california/sacramento/sacramento/greenwich-at-parklane/floor-plans/2348.aspx"",""state"":""CA"",""mlong"":""-121.8167"",""cnty"":""Solano"",""prange"":""450-499k"",""zip"":""95620"",""mlat"":""38.43505"",""plid"":""28639599"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnelk48nxxfju1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2010-2019"",""zestimate"":""461381"",""premieragent"":""no"",""builderChatId"":""12653-820907"",""dma"":""35""}}","null","null","null","null"
"1572896210-215","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/5880-Sunnybrook-Ln-Dixon-CA-95620/15721608_zpid/","Dixon, CA 95620","Lot/land","5880 Sunnybrook Ln,","","","null","73 acres","null","$1,607,133","$1,695,000","null","null","null","null","null","null","$3,400/mo","5","5","6","No Data","null","null","null","null"
"1572896268-234","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/479-W-A-St-Dixon-CA-95620/15699109_zpid/","Dixon, CA 95620","For sale","479 W A St,","","","985","3","1","$321,279","$324,900","Single Family","1945","Wall","None","Single Family","5,227 sqft","$2,000/mo","4","5","6","{""targetDiv"":""gpt-ad-4ef1d6c2-1664-41b6-be21-df6653c81bb0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""479 W A St"",""bd"":""3"",""fsbid"":""15463"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15699109"",""lot"":""1"",""zestibuck"":""300-349k"",""listtp"":""buy_agent"",""zguidh"":""-1833633346996032077"",""sqftrange"":""500-999"",""price"":""324900"",""sqft"":""985"",""posting_url"":""http://kim.sacramentoareahomesearch.com"",""mlong"":""-121.827127"",""state"":""CA"",""park"":""yes"",""prange"":""300-349k"",""zip"":""95620"",""mlat"":""38.445334"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvwg39bd2dng30000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1940-1959"",""zestimate"":""321279"",""premieragent"":""no""}}","null","null","null","null"
"1572896185-208","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1350-Hazelwood-Ct-Dixon-CA-95620/15699465_zpid/","Dixon, CA 95620","Pre-foreclosure","1350 Hazelwood Ct,","2","https://www.zillow.com/dixon-ca/2_p/","null","3","null","$384,101","$384,101","Single Family","1984","Other","Central","Single Family","3,049 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-cb332d5b-669f-4fb4-abf1-289c61abb2a8"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1350 Hazelwood Ct"",""bd"":""3"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15699465"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""2111068917323329426"",""sqftrange"":""1500-1999"",""price"":""413012"",""sqft"":""1537"",""posting_url"":"""",""mlong"":""-121.840708"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""95620"",""mlat"":""38.442892"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""413012"",""premieragent"":""no""}}","null","null","null","null"
"1572896173-204","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1500-N-1st-St-Dixon-CA-95620/2104490305_zpid/","Dixon, CA 95620","Lot/land","1500 N 1st St,","2","https://www.zillow.com/dixon-ca/2_p/","null","0.97 acres","null","None","$575,000","null","null","null","null","null","null","$1,525/mo","3","5","6","No Data","null","null","null","null"
"1572896193-210","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/6688-Fox-Rd-Dixon-CA-95620/178356117_zpid/","Dixon, CA 95620","For sale","6688 Fox Rd,","","","1,232","2","1","None","$1,600,000","Single Family","1970","No Data","No Data","Single Family","153.68 acres","null","4","5","6","No Data","null","null","null","null"
"1572896319-247","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/720-Devonshire-Ct-Dixon-CA-95620/15697842_zpid/","Dixon, CA 95620","For sale","720 Devonshire Ct,","","","1,494","4","2","$435,111","$439,800","Single Family","1978","Forced air","Central","Single Family","8,712 sqft","$2,300/mo","4","5","6","{""targetDiv"":""gpt-ad-9f56e267-5a9e-445b-b227-60d74a0de1d1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""720 Devonshire Ct"",""bd"":""4"",""fsbid"":""14311"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15697842"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""8290891001853542544"",""sqftrange"":""1000-1499"",""price"":""439800"",""sqft"":""1494"",""posting_url"":""http://www.johnsongroup-remax.com"",""mlong"":""-121.831256"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""95620"",""mlat"":""38.455062"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfwx7ar0vxa4s0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""435111"",""premieragent"":""no""}}","null","null","null","null"
"1572896231-222","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/640-W-D-St-N-Dixon-CA-95620/15696983_zpid/","Dixon, CA 95620","For sale","640 W D St N,","","","1,507","3","2","null","$375,000","Single Family","1959","Forced air","Central","Single Family","6,098 sqft","$2,200/mo","4","5","6","{""targetDiv"":""gpt-ad-95e7250d-e039-4ccf-bf7f-5113e46bab17"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""640 W D St N"",""bd"":""3"",""fsbid"":""4383"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15696983"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""351928189519596381"",""sqftrange"":""1500-1999"",""price"":""375000"",""sqft"":""1507"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/dixon/640-west-d-north-st/pid_32411377/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.829956"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""95620"",""mlat"":""38.449163"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjfri6rltk9qy0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1940-1959"",""zestimate"":""375000"",""premieragent"":""no""}}","null","null","null","null"
"1572896198-212","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/620-W-F-St-Dixon-CA-95620/15696896_zpid/","Dixon, CA 95620","Pre-foreclosure / auction","620 W F St,","","","null","3","null","null","null","Single Family","1955","None","None","Single Family","5,662 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-ca68a11e-0231-4b3b-a83c-ed1cfce1d91a"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95620"",""aamgnrc1"":""620 W F St"",""mlat"":""38.451057"",""bd"":""3"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS37eqjoi97e131000000000.jpg"",""zusr"":""true"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15696896"",""yrblt"":""1940-1959"",""lot"":""2"",""listtp"":""buy_foreclosure"",""zguidh"":""-3960805667217422373"",""premieragent"":""no"",""sqftrange"":""500-999"",""sqft"":""936"",""posting_url"":"""",""mlong"":""-121.829516"",""state"":""CA"",""park"":""yes""}}","null","null","null","null"
"1572896233-223","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/545-Brians-Way-Dixon-CA-95620/15698954_zpid/","Dixon, CA 95620","Pre-foreclosure / auction","545 Brians Way,","","","null","4","null","$473,799","$473,799","Single Family","2000","Other","Central","Single Family","7,120 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-dae005eb-859f-4916-a26e-a597b0dc6615"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""545 Brians Way"",""bd"":""4"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15698954"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""4369132012506763467"",""sqftrange"":""2000-2499"",""price"":""509462"",""sqft"":""2220"",""posting_url"":"""",""mlong"":""-121.845937"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""95620"",""mlat"":""38.450182"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""509462"",""premieragent"":""no""}}","null","null","null","null"
"1572896272-236","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1460-Market-Ln-Dixon-CA-95620/2105629880_zpid/","Dixon, CA 95620","Lot/land","1460 Market Ln,","","","null","1.23 acres","null","None","$890,000","null","null","null","null","null","null","$1,525/mo","4","5","6","{""targetDiv"":""gpt-ad-8b8a059e-80d0-493f-aca7-6e8c32e67f34"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95620"",""aamgnrc1"":""1460 Market Ln"",""mlat"":""38.455952"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Dixon"",""proptp"":""lot"",""pid"":""2105629880"",""lot"":""6"",""listtp"":""buy_agent"",""zguidh"":""-3635385274128897854"",""premieragent"":""no"",""price"":""890000"",""posting_url"":""http://greathomes.org/mls/property/21926592"",""mlong"":""-121.843245"",""state"":""CA"",""prange"":""800-899k""}}","null","null","null","null"
"1572896236-224","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1420-Rehrmann-Dr-Dixon-CA-95620/15698408_zpid/","Dixon, CA 95620","Pre-foreclosure","1420 Rehrmann Dr,","","","null","4","null","$490,980","$490,980","Single Family","1991","Other","Central","Single Family","8,000 sqft","null","4","5","6","{""targetDiv"":""gpt-ad-403d7b58-dd6b-404d-b15c-f74fc69b0fe6"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1420 Rehrmann Dr"",""bd"":""4"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15698408"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""999573244397587167"",""sqftrange"":""2000-2499"",""price"":""527936"",""sqft"":""2454"",""posting_url"":"""",""mlong"":""-121.841583"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""95620"",""mlat"":""38.44776"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1990-1999"",""zestimate"":""527936"",""premieragent"":""no""}}","null","null","null","null"
"1572896201-213","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/360-Calmace-Dr-Dixon-CA-95620/15696673_zpid/","Dixon, CA 95620","For sale","360 Calmace Dr,","","","2,080","3","3","$487,121","$491,500","Single Family","1972","Forced air","Central","Single Family","8,712 sqft","$2,450/mo","3","5","6","{""targetDiv"":""gpt-ad-d471d947-e5f1-46a7-b798-63769be6ea5a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""360 Calmace Dr"",""bd"":""3"",""fsbid"":""14363"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15696673"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4094426603784913361"",""sqftrange"":""2000-2499"",""price"":""491500"",""oh"":""yes"",""sqft"":""2080"",""posting_url"":""https://www.homebay.com/property/360-Calmace-Dr-95620-2318"",""mlong"":""-121.825698"",""state"":""CA"",""prange"":""450-499k"",""zip"":""95620"",""mlat"":""38.454953"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISahbl8qm93ukt0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""487121"",""premieragent"":""no""}}","null","null","null","null"
"1572896180-206","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/675-Hansen-Ct-Dixon-CA-95620/15695881_zpid/","Dixon, CA 95620","Pre-foreclosure","675 Hansen Ct,","2","https://www.zillow.com/dixon-ca/2_p/","null","4","null","$483,679","$483,679","Single Family","1995","Other","Central","Single Family","8,712 sqft","null","3","5","6","{""targetDiv"":""gpt-ad-75cb061f-8a2c-4c93-88ef-8914e926dc46"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""675 Hansen Ct"",""bd"":""4"",""city"":""Dixon"",""proptp"":""sfh"",""pid"":""15695881"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""7226857215783018183"",""sqftrange"":""2000-2499"",""price"":""520086"",""sqft"":""2044"",""posting_url"":"""",""mlong"":""-121.831266"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""95620"",""mlat"":""38.462936"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa52uncvm592b1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1990-1999"",""zestimate"":""520086"",""premieragent"":""no""}}","null","null","null","null"
"1572896255-230","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/1495-Dunlap-Ct-Dixon-CA-95620/15698405_zpid/","Dixon, CA 95620","For sale","1495 Dunlap Ct,","","","2,777","5","3","$619,066","$619,000","Single Family","1992","Other","Central","Single Family","8,712 sqft","$2,995/mo","4","5","6","No Data","null","null","null","null"
"1572896176-205","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/550-Marvin-Way-Dixon-CA-95620/15699113_zpid/","Dixon, CA 95620","Pre-foreclosure","550 Marvin Way,","2","https://www.zillow.com/dixon-ca/2_p/","1,060","2","1","$314,450","$314,450","Single Family","1948","Other","Central","Single Family","5,662 sqft","null","4","5","6","No Data","null","null","null","null"
"1572896183-207","https://www.zillow.com/homes/dixon-ca_rb/","","https://www.zillow.com/homedetails/8676-Robben-Rd-Dixon-CA-95620/178325749_zpid/","Dixon, CA 95620","Lot/land","8676 Robben Rd,","2","https://www.zillow.com/dixon-ca/2_p/","null","34.18 acres","null","None","$995,000","null","null","null","null","null","null","null","3","5","6","No Data","null","null","null","null"
